"specialist_id","domain","n_rows","n_strong_win","n_strong_point_signal","n_pareto_signal","n_equal_weight_gain","n_no_win","pass_rate","median_q95_gain","best_dataset"
"TAX-Q1R024","rdatasets_psych",4,0,0,0,4,0,0,-1.59090486952839,"RD_psych_bfi_auto__depth_upper_tail_enriched"
"TAX-Q1R025","biomedical_signal",9,0,0,0,9,0,0,-0.0643474255848512,"UCI_parkinsons_HNR"
"TAX-Q1R025","education_scores",27,0,1,0,17,9,0.037037037037037,-0.201975001762143,"UCI_student_math_G3__depth_upper_tail_enriched"
"TAX-Q1R025","engineering_efficiency",9,0,0,0,9,0,0,-0.105780472346918,"UCI_auto_mpg"
"TAX-Q1R025","rdatasets_agridat",9,0,0,0,9,0,0,-5437.44286445476,"RD_agridat_lee.potatoblight_auto"
"TAX-Q1R025","rdatasets_alone",36,0,0,0,36,0,0,-0.0107458638115494,"RD_alone_loadouts_auto__depth_body_10_90"
"TAX-Q1R025","rdatasets_archdata",9,0,0,0,9,0,0,-0.0685148512867915,"RD_archdata_Handaxes_auto__depth_body_10_90"
"TAX-Q1R025","rdatasets_asaur",18,3,0,0,15,0,0.166666666666667,-3.7440898010506,"RD_asaur_prostateSurvival_auto__depth_body_10_90"
"TAX-Q1R025","rdatasets_bakeoff",27,2,0,0,25,0,0.0740740740740741,-0.00921945281692893,"RD_bakeoff_challenges_data__auto__depth_bootstrap_full"
"TAX-Q1R025","rdatasets_betareg",9,0,0,0,9,0,0,-0.00241206614201896,"RD_betareg_LossAversion_auto"
"TAX-Q1R025","rdatasets_boot",27,8,3,0,12,4,0.407407407407407,-0.0271207192109355,"RD_boot_amis_auto__depth_upper_tail_enriched"
"TAX-Q1R025","rdatasets_causaldata",9,0,0,0,9,0,0,-0.909554166009362,"RD_causaldata_mortgages_auto"
"TAX-Q1R025","rdatasets_cluster",9,0,0,0,9,0,0,-1.03192824108486,"RD_cluster_xclara_auto"
"TAX-Q1R025","rdatasets_dragracer",27,7,0,0,20,0,0.259259259259259,-0.0042481921166834,"RD_dragracer_rpdr_contep_auto__depth_bootstrap_full"
"TAX-Q1R025","rdatasets_educationR",9,0,0,0,9,0,0,-0.000207595236780636,"RD_educationR_major_survey_tbl_df_auto"
"TAX-Q1R025","rdatasets_forecast",9,0,0,0,9,0,0,-34322.1892282164,"RD_forecast_taylor_auto"
"TAX-Q1R025","rdatasets_fpp2",27,9,0,0,18,0,0.333333333333333,-7.76724737205889,"RD_fpp2_calls_auto__depth_bootstrap_full"
"TAX-Q1R025","rdatasets_gt",27,18,0,0,9,0,0.666666666666667,0.267063109549212,"RD_gt_pizzaplace_auto__depth_upper_tail_enriched"
"TAX-Q1R025","rdatasets_HistData",27,5,3,0,14,5,0.296296296296296,-0.0207278098822303,"RD_HistData_Pollen_auto__depth_upper_tail_enriched"
"TAX-Q1R025","rdatasets_ISLR",27,12,0,0,15,0,0.444444444444444,-65.5651268942331,"RD_ISLR_Default_auto__depth_bootstrap_full"
"TAX-Q1R025","rdatasets_OncoDataSets",18,3,0,0,15,0,0.166666666666667,-2.91211949835934,"RD_OncoDataSets_ProstateSurvival_df_auto__depth_body_10_90"
"TAX-Q1R025","rdatasets_psych",9,6,0,0,3,0,0.666666666666667,0.372569144209022,"RD_psych_bfi_auto__depth_upper_tail_enriched"
